股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
000666,经纬纺机,2019-06-30,1,减持,3300000,0.46866346,-200003,-5.71436653054297
002044,美年健康,2019-06-30,1,持平,120000000,3.84422316,0,0
600686,金龙汽车,2019-06-30,1,持平,10009609,1.64974018,0,0
600614,*ST鹏起,2019-06-30,1,持平,91588168,5.22532743,0,0
002124,天邦股份,2019-06-30,1,减持,11218492,0.96742154,-57412014,-83.6537821825181
601000,唐山港,2019-06-30,1,持平,27587999,0.46554727,0,0
002301,齐心集团,2019-06-30,1,减持,30881414,4.81167995,-21805351,-41.3867714216274
002455,百川股份,2019-06-30,1,减持,25810900,4.99265788,-400000,-1.52608266026729
601231,环旭电子,2019-06-30,1,减持,5520919,0.25372761,-1543392,-21.8477357522906
002414,高德红外,2019-06-30,1,减持,5667743,0.60527975,-2468165,-30.3366876813258
000829,天音控股,2019-06-30,1,持平,86300019,8.31947421,0,0
300389,艾比森,2019-06-30,1,增持,2000000,0.62505718,2000000,100
002139,拓邦股份,2019-06-30,1,减持,13200000,1.29532849,-6985400,-34.6062005211688
002031,巨轮智能,2019-06-30,1,持平,14429269,0.65605608,0,0
600738,兰州民百,2019-06-30,1,减持,23127846,2.95338792,-5801500,-20.0540309483664
002108,沧州明珠,2019-06-30,1,持平,3991217,0.2814831,0,0
600277,亿利洁能,2019-06-30,1,持平,52751095,1.92596742,0,0
300228,富瑞特装,2019-06-30,1,持平,12190470,2.57867489,0,0
002387,维信诺,2019-06-30,1,持平,67365269,4.92557499,0,0
600338,西藏珠峰,2019-06-30,1,增持,116662000,12.76096067,33332000,40
600740,山西焦化,2019-06-30,1,持平,64000000,4.22150217,0,0
000006,深振业A,2019-06-30,1,增持,12766052,0.94563695,2016810,18.7623462193892
600137,浪莎股份,2019-06-30,1,持平,545600,0.56121532,0,0
002585,双星新材,2019-06-30,1,增持,5593802,0.48377653,5593802,100
600694,大商股份,2019-06-30,1,持平,2516085,0.85663099,0,0
600369,西南证券,2019-06-30,1,持平,88738868,1.57196019,0,0
000998,隆平高科,2019-06-30,1,持平,25123800,1.90769678,0,0
600183,生益科技,2019-06-30,1,持平,18324020,0.84170068,0,0
601996,丰林集团,2019-06-30,1,增持,7004005,0.61099016,7004005,100
002622,融钰集团,2019-06-30,1,持平,32263200,3.84085714,0,0
002607,中公教育,2019-06-30,1,减持,24300000,0.39400724,-700000,-2.8
000035,中国天楹,2019-06-30,1,持平,22727272,0.9319282,0,0
002663,普邦股份,2019-06-30,1,持平,15871219,0.88375207,0,0
002141,贤丰控股,2019-06-30,1,持平,4564900,0.40231558,0,0
300339,润和软件,2019-06-30,1,减持,17293602,2.17144231,-1522000,-8.0890316451209
600222,太龙药业,2019-06-30,1,减持,3342920,0.58250565,-807900,-19.463624055006
300269,联建光电,2019-06-30,1,减持,9350035,1.57473254,-150000,-1.57894155126797
002135,东南网架,2019-06-30,1,增持,20893704,2.01988201,20893704,100
000818,航锦科技,2019-06-30,1,持平,5403000,0.78304348,0,0
000802,北京文化,2019-06-30,1,持平,4029000,0.5627879,0,0
600634,*ST富控,2019-06-30,1,持平,20023285,3.47788245,0,0
600416,*ST湘电,2019-06-30,1,增持,5100000,0.53920648,5100000,100
300130,新国都,2019-06-30,1,减持,12629499,2.6079563,-4770000,-27.4145824543569
002215,诺普信,2019-06-30,1,减持,40071867,4.38386416,-5500000,-12.0688494065867
002044,美年健康,2019-06-30,1,持平,120000000,3.84422316,0,0
002005,ST德豪,2019-06-30,1,持平,73664825,4.17430669,0,0
601801,皖新传媒,2019-06-30,1,减持,8654024,0.43504944,-200000,-2.25885992628888
000089,深圳机场,2019-06-30,1,持平,13006963,0.63424792,0,0
600708,光明地产,2019-06-30,1,减持,46329538,2.0788286,-2127540,-4.39056601803353
300021,大禹节水,2019-06-30,1,持平,15940000,1.9990953,0,0
002433,太安堂,2019-06-30,1,持平,7568102,0.98700659,0,0
000881,中广核技,2019-06-30,1,减持,1274000,0.12429294,-1426000,-52.8148148148148
002518,科士达,2019-06-30,1,减持,2246490,0.38569968,-1553510,-40.8818421052632
600229,城市传媒,2019-06-30,1,增持,2668670,0.38010044,2668670,100
002057,中钢天源,2019-06-30,1,减持,10282906,1.7874369,-407265,-3.80971454993564
002062,宏润建设,2019-06-30,1,持平,48583053,4.40662612,0,0
600965,福成股份,2019-06-30,1,持平,16257986,1.98582717,0,0
600696,ST岩石,2019-06-30,1,持平,7307239,2.14561896,0,0
300296,利亚德,2019-06-30,1,持平,40425421,1.5897516,0,0
300300,海峡创新,2019-06-30,1,增持,8095700,1.18507807,8095700,100
002363,隆基机械,2019-06-30,1,持平,3016780,0.72501269,0,0
600097,开创国际,2019-06-30,1,持平,7667731,3.18246888,0,0
600094,大名城,2019-06-30,1,减持,54979712,2.22111079,-53453214,-49.296109559932
600885,宏发股份,2019-06-30,1,持平,10836529,1.45503336,0,0
300282,三盛教育,2019-06-30,1,增持,8100000,2.16400222,2700000,50
