股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
601966,玲珑轮胎,2020-03-31,7,增持,99500,0.00829156,38500,63.1147540983607
300144,宋城演艺,2020-03-31,7,减持,3037375,0.20909809,-2348503,-43.6048310043414
000401,冀东水泥,2020-03-31,7,增持,431300,0.03200687,96416,28.7908648965015
002050,三花智控,2020-03-31,7,减持,207500,0.00750353,-14946237,-98.6307007967738
000860,顺鑫农业,2020-03-31,7,减持,475720,0.06413333,-6219187,-92.8943001000611
601021,春秋航空,2020-03-31,6,减持,4441624,0.48450853,-10193947,-69.6518571089573
603019,中科曙光,2020-03-31,6,增持,354325,0.03809798,354325,100
002352,顺丰控股,2020-03-31,6,减持,3165181,0.07170271,-3147400,-49.8591622032256
002589,瑞康医药,2020-03-31,6,持平,5834923,0.38777712,0,0
603259,药明康德,2020-03-31,6,减持,101180,0.00612795,-218500,-68.3495995995996
603317,天味食品,2020-03-31,6,增持,904800,0.21899771,904800,100
002001,新和成,2020-03-31,6,增持,2031430,0.09454393,380660,23.0595419107447
600315,上海家化,2020-03-31,6,减持,11450000,1.70577673,-16190396,-58.5751231639373
300012,华测检测,2020-03-31,6,增持,1160693,0.07002543,63948,5.83070814090787
600612,老凤祥,2020-03-31,6,减持,213266,0.04076827,-8496344,-97.5513714161713
002551,尚荣医疗,2020-03-31,6,增持,9792150,1.19389563,469174,5.03244886611314
601877,正泰电器,2020-03-31,5,减持,819513,0.03811245,-98600,-10.7394187861407
000338,潍柴动力,2020-03-31,5,减持,377200,0.00475429,-257500,-40.5703481959981
601688,华泰证券,2020-03-31,5,减持,247731293,2.72932517,-4107848,-1.6311396170145
603599,广信股份,2020-03-31,5,持平,8850645,1.9046788,0,0
002180,纳思达,2020-03-31,5,减持,403200,0.03791791,-249000,-38.1784728610856
601238,广汽集团,2020-03-31,5,增持,1916700,0.01872197,1759900,1122.38520408163
000876,新希望,2020-03-31,5,减持,34927982,0.82845962,-3980456,-10.2303155937537
300433,蓝思科技,2020-03-31,5,减持,204417,0.00466296,-1085000,-84.1465561567747
600406,国电南瑞,2020-03-31,5,减持,981300,0.02123134,-121800,-11.0416100081588
002602,世纪华通,2020-03-31,5,增持,619500,0.00994909,619500,100
600660,福耀玻璃,2020-03-31,5,增持,11091358,0.44213029,9466315,582.527046976603
600741,华域汽车,2020-03-31,5,减持,809669,0.02568156,-3686892,-81.9935946604527
002110,三钢闽光,2020-03-31,5,增持,162050,0.00661003,38150,30.7909604519774
002273,水晶光电,2020-03-31,5,减持,323200,0.02654209,-193300,-37.4249757986447
002511,中顺洁柔,2020-03-31,5,增持,296358,0.02264192,296358,100
002332,仙琚制药,2020-03-31,5,增持,11180041,1.22024586,11180041,100
600720,祁连山,2020-03-31,5,增持,698890,0.09002946,698890,100
600325,华发股份,2020-03-31,5,增持,15735709,0.74322517,15465709,5728.04037037037
002242,九阳股份,2020-03-31,5,增持,498154,0.06492197,451054,957.651804670913
300298,三诺生物,2020-03-31,5,减持,9666982,1.71001769,-1467762,-13.1818207944431
600273,嘉化能源,2020-03-31,5,增持,29122580,2.03266274,1324248,4.76376784045892
002867,周大生,2020-03-31,5,减持,5995115,0.82023155,-478341,-7.38926780378209
